id,full_table_name,column_name,metric_name,metric_value,source_value,bucket_start,bucket_end,bucket_duration_hours,updated_at,dimension,dimension_value,metric_properties,created_at
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_source_freshness_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCE_FRESHNESS_RESULTS,,row_count,0,,,,,2024-02-14 12:16:13.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""metadata""",POSTGRES.TRANSFORMED_ELEMENTARY.METADATA,,build_timestamp,1707909373.68772,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""metadata""",POSTGRES.TRANSFORMED_ELEMENTARY.METADATA,,row_count,1,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""elementary_test_results""",POSTGRES.TRANSFORMED_ELEMENTARY.ELEMENTARY_TEST_RESULTS,,build_timestamp,1707909374.257718,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""elementary_test_results""",POSTGRES.TRANSFORMED_ELEMENTARY.ELEMENTARY_TEST_RESULTS,,row_count,0,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""schema_columns_snapshot""",POSTGRES.TRANSFORMED_ELEMENTARY.SCHEMA_COLUMNS_SNAPSHOT,,build_timestamp,1707909374.332717,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""schema_columns_snapshot""",POSTGRES.TRANSFORMED_ELEMENTARY.SCHEMA_COLUMNS_SNAPSHOT,,row_count,0,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_tests""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_TESTS,,build_timestamp,1707909374.412719,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_tests""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_TESTS,,row_count,0,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_sources""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCES,,build_timestamp,1707909374.532719,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""dbt_sources""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCES,,row_count,10,,,,,2024-02-14 12:16:14.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed"".""int_transactions_and_accounts_and_groups_joined""",POSTGRES.TRANSFORMED.INT_TRANSACTIONS_AND_ACCOUNTS_AND_GROUPS_JOINED,,build_timestamp,1707909376.949016,,,,,2024-02-14 12:16:17.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed"".""int_transactions_and_accounts_and_groups_joined""",POSTGRES.TRANSFORMED.INT_TRANSACTIONS_AND_ACCOUNTS_AND_GROUPS_JOINED,,row_count,0,,,,,2024-02-14 12:16:17.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""test_result_rows""",POSTGRES.TRANSFORMED_ELEMENTARY.TEST_RESULT_ROWS,,build_timestamp,1707909377.074014,,,,,2024-02-14 12:16:17.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed_elementary"".""test_result_rows""",POSTGRES.TRANSFORMED_ELEMENTARY.TEST_RESULT_ROWS,,row_count,0,,,,,2024-02-14 12:16:17.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed"".""grouped_transactions_unioned_with_original""",POSTGRES.TRANSFORMED.GROUPED_TRANSACTIONS_UNIONED_WITH_ORIGINAL,,build_timestamp,1707909377.540128,,,,,2024-02-14 12:16:17.000000,,,,2024-02-14 12:16:17.629464
"7076df6c-fdec-4654-bde3-33ad3b78e1b5.""postgres"".""transformed"".""grouped_transactions_unioned_with_original""",POSTGRES.TRANSFORMED.GROUPED_TRANSACTIONS_UNIONED_WITH_ORIGINAL,,row_count,0,,,,,2024-02-14 12:16:17.000000,,,,2024-02-14 12:16:17.629464
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""data_monitoring_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DATA_MONITORING_METRICS,,build_timestamp,1707909463.995328,,,,,2024-02-14 12:17:44.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""data_monitoring_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DATA_MONITORING_METRICS,,row_count,70,,,,,2024-02-14 12:17:44.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_invocations""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_INVOCATIONS,,build_timestamp,1707909469.680112,,,,,2024-02-14 12:17:50.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_invocations""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_INVOCATIONS,,row_count,2,,,,,2024-02-14 12:17:50.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_run_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_RUN_RESULTS,,build_timestamp,1707909469.958982,,,,,2024-02-14 12:17:50.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_run_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_RUN_RESULTS,,row_count,82,,,,,2024-02-14 12:17:50.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_exposures""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_EXPOSURES,,build_timestamp,1707909472.19711,,,,,2024-02-14 12:17:52.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_exposures""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_EXPOSURES,,row_count,0,,,,,2024-02-14 12:17:52.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_METRICS,,build_timestamp,1707909472.734628,,,,,2024-02-14 12:17:53.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_metrics""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_METRICS,,row_count,0,,,,,2024-02-14 12:17:53.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_seeds""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SEEDS,,build_timestamp,1707909472.890631,,,,,2024-02-14 12:17:53.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_seeds""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SEEDS,,row_count,0,,,,,2024-02-14 12:17:53.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_columns""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_COLUMNS,,build_timestamp,1707909474.005538,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_columns""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_COLUMNS,,row_count,195,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_snapshots""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SNAPSHOTS,,build_timestamp,1707909474.018539,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_snapshots""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SNAPSHOTS,,row_count,0,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_models""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_MODELS,,build_timestamp,1707909474.357069,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_models""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_MODELS,,row_count,52,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_source_freshness_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCE_FRESHNESS_RESULTS,,build_timestamp,1707909474.784732,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""dbt_source_freshness_results""",POSTGRES.TRANSFORMED_ELEMENTARY.DBT_SOURCE_FRESHNESS_RESULTS,,row_count,0,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""metadata""",POSTGRES.TRANSFORMED_ELEMENTARY.METADATA,,build_timestamp,1707909474.848732,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed_elementary"".""metadata""",POSTGRES.TRANSFORMED_ELEMENTARY.METADATA,,row_count,1,,,,,2024-02-14 12:17:54.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed"".""int_accounts_and_groups_joined""",POSTGRES.TRANSFORMED.INT_ACCOUNTS_AND_GROUPS_JOINED,,build_timestamp,1707909475.600215,,,,,2024-02-14 12:17:55.000000,,,,2024-02-14 12:17:59.168473
"6480869e-601e-4e75-95ce-846a06a955ab.""postgres"".""transformed"".""int_accounts_and_groups_joined""",POSTGRES.TRANSFORMED.INT_ACCOUNTS_AND_GROUPS_JOINED,,row_count,0,,,,,2024-02-14 12:17:55.000000,,,,2024-02-14 12:17:59.168473
